Match ID,team,result,Score,idx,played,xg,xgConceded,xPoints,xgDiff,xgConcededDiff,pts,valor_total_m,plantilla,edad_media
4205343,Almeria,0 _ 2,,17,38,49.3727997764945,62.0615995824337,43.17933080901533,-6.372799776494503,12.9384004175663,21,99.4,41.0,25.3
4205347,Sevilla,1_2,,16,38,45.16869970411062,56.74599975347519,43.30569248842851,2.8313002958893776,-2.745999753475189,41,228.75,49.0,26.7
4205351,Real Sociedad,1_1,,6,38,45.49999979138374,42.01430001109839,54.50672071714556,5.500000208616257,-3.014300011098385,60,498.5,40.0,25.2
4205348,Las Palmas,1_1,,20,38,33.406499803066254,57.48590001836419,37.44152282676945,-0.4064998030662536,-10.485900018364193,40,112.4,35.0,26.2
4205344,Athletic Club,0 _ 2,,5,38,53.23600025475025,41.94819977134466,58.83257780629809,7.763999745249748,-4.948199771344662,68,295.65,31.0,27.0
4205346,Celta Vigo,0 _ 2,,13,38,51.205099657177925,55.12649983167648,48.845843934285895,-5.205099657177925,1.8735001683235168,41,149.3,39.0,25.9
4205350,Villarreal,1_2,,7,38,56.68329958617687,59.24300003051758,52.74478704172331,8.316700413823128,5.756999969482422,53,252.5,39.0,27.2
4205349,Getafe,0 _ 0,,15,38,46.12450028955936,54.38299983739853,45.67093815711958,-4.124500289559364,-0.382999837398529,43,133.0,40.0,25.7
4205352,Cadiz,1_0,,18,38,36.54569977521896,52.90619999170303,42.72391696433407,-10.545699775218964,2.0938000082969666,33,60.7,44.0,27.0
4205345,Atletico Madrid,3_1,,3,38,63.02090010046959,39.84470027685165,67.75806516978074,6.979099899530411,3.155299723148346,76,458.45,42.0,26.9
4205355,Mallorca,0 _ 1,,11,38,41.20349998772144,43.55740045011044,50.04539754117186,-8.203499987721443,0.4425995498895645,40,87.7,35.0,26.9
4205362,Valencia,1_0,,12,38,43.41349981725216,48.07219985872507,49.16903915854088,-3.413499817252159,-3.072199858725071,49,244.73,36.0,23.8
4205360,Real Sociedad,1_1,,6,38,45.49999979138374,42.01430001109839,54.50672071714556,5.500000208616257,-3.014300011098385,60,498.5,40.0,25.2
4205353,Almeria,1_3,,17,38,49.3727997764945,62.0615995824337,43.17933080901533,-6.372799776494503,12.9384004175663,21,99.4,41.0,25.3
4205358,Osasuna,0 _ 2,,14,38,40.99650013446808,50.40549983084202,46.73057749890605,4.003499865531921,5.594500169157982,45,105.35,32.0,27.2
4205361,Girona,3_0,,4,38,71.81500044465065,55.33110040426254,63.56037276473729,13.18499955534935,-9.331100404262545,81,297.9,37.0,25.6
4205354,Barcelona,2_0,,1,38,78.47440016269684,41.95000001788139,76.86536078632587,0.5255998373031616,2.0499999821186066,85,916.2,38.0,24.0
4205359,Real Betis,0 _ 0,,10,38,44.58340001106262,50.78079971671104,50.16937851462984,3.416599988937378,-5.780799716711044,57,224.88,42.0,27.0
4205357,Deportivo Alaves,4_3,,8,38,46.554699659347534,45.19290003180504,51.99584700329753,-10.554699659347534,0.8070999681949615,46,,,
4205356,Granada,0 _ 2,,19,38,42.9866001419723,64.83560022711754,37.54244076147777,-4.986600141972303,14.164399772882462,21,141.1,46.0,26.4
4205366,Las Palmas,0 _ 0,,20,38,33.406499803066254,57.48590001836419,37.44152282676945,-0.4064998030662536,-10.485900018364193,40,112.4,35.0,26.2
4205364,Celta Vigo,0 _ 1,,13,38,51.205099657177925,55.12649983167648,48.845843934285895,-5.205099657177925,1.8735001683235168,41,149.3,39.0,25.9
4205367,Cadiz,1_1,,18,38,36.54569977521896,52.90619999170303,42.72391696433407,-10.545699775218964,2.0938000082969666,33,60.7,44.0,27.0
4205365,Granada,3_2,,19,38,42.9866001419723,64.83560022711754,37.54244076147777,-4.986600141972303,14.164399772882462,21,141.1,46.0,26.4
4205370,Sevilla,1_2,,16,38,45.16869970411062,56.74599975347519,43.30569248842851,2.8313002958893776,-2.745999753475189,41,228.75,49.0,26.7
4205369,Villarreal,3_4,,7,38,56.68329958617687,59.24300003051758,52.74478704172331,8.316700413823128,5.756999969482422,53,252.5,39.0,27.2
4205371,Valencia,1_2,,12,38,43.41349981725216,48.07219985872507,49.16903915854088,-3.413499817252159,-3.072199858725071,49,244.73,36.0,23.8
4205363,Athletic Club,4_2,,5,38,53.23600025475025,41.94819977134466,58.83257780629809,7.763999745249748,-4.948199771344662,68,295.65,31.0,27.0
4205372,Getafe,1_0,,15,38,46.12450028955936,54.38299983739853,45.67093815711958,-4.124500289559364,-0.382999837398529,43,133.0,40.0,25.7
4205368,Rayo Vallecano,0 _ 7,,9,38,42.70370011031628,45.02939987182617,51.15674361899037,-13.703700110316277,2.970600128173828,38,63.95,30.0,28.9
4205376,Cadiz,3_1,,18,38,36.54569977521896,52.90619999170303,42.72391696433407,-10.545699775218964,2.0938000082969666,33,60.7,44.0,27.0
4205373,Almeria,2_3,,17,38,49.3727997764945,62.0615995824337,43.17933080901533,-6.372799776494503,12.9384004175663,21,99.4,41.0,25.3
4205382,Real Sociedad,5_3,,6,38,45.49999979138374,42.01430001109839,54.50672071714556,5.500000208616257,-3.014300011098385,60,498.5,40.0,25.2
4205381,Real Madrid,2_1,,2,38,69.76420041918755,35.84470011293888,74.50568964274169,17.235799580812454,-9.84470011293888,95,1140.0,37.0,25.6
4205378,Deportivo Alaves,1_0,,8,38,46.554699659347534,45.19290003180504,51.99584700329753,-10.554699659347534,0.8070999681949615,46,,,
4205375,Real Betis,1_0,,10,38,44.58340001106262,50.78079971671104,50.16937851462984,3.416599988937378,-5.780799716711044,57,224.88,42.0,27.0
4205377,Girona,1_0,,4,38,71.81500044465065,55.33110040426254,63.56037276473729,13.18499955534935,-9.331100404262545,81,297.9,37.0,25.6
4205379,Mallorca,0 _ 0,,11,38,41.20349998772144,43.55740045011044,50.04539754117186,-8.203499987721443,0.4425995498895645,40,87.7,35.0,26.9
4205380,Osasuna,1_2,,14,38,40.99650013446808,50.40549983084202,46.73057749890605,4.003499865531921,5.594500169157982,45,105.35,32.0,27.2
4205392,Rayo Vallecano,2_0,,9,38,42.70370011031628,45.02939987182617,51.15674361899037,-13.703700110316277,2.970600128173828,38,63.95,30.0,28.9
4205383,Athletic Club,3_0,,5,38,53.23600025475025,41.94819977134466,58.83257780629809,7.763999745249748,-4.948199771344662,68,295.65,31.0,27.0
4205389,Valencia,3_0,,12,38,43.41349981725216,48.07219985872507,49.16903915854088,-3.413499817252159,-3.072199858725071,49,244.73,36.0,23.8
4205385,Celta Vigo,0 _ 1,,13,38,51.205099657177925,55.12649983167648,48.845843934285895,-5.205099657177925,1.8735001683235168,41,149.3,39.0,25.9
4205384,Barcelona,5_0,,1,38,78.47440016269684,41.95000001788139,76.86536078632587,0.5255998373031616,2.0499999821186066,85,916.2,38.0,24.0
4205386,Getafe,3_2,,15,38,46.12450028955936,54.38299983739853,45.67093815711958,-4.124500289559364,-0.382999837398529,43,133.0,40.0,25.7
4205388,Villarreal,2_1,,7,38,56.68329958617687,59.24300003051758,52.74478704172331,8.316700413823128,5.756999969482422,53,252.5,39.0,27.2
4205391,Sevilla,1_0,,16,38,45.16869970411062,56.74599975347519,43.30569248842851,2.8313002958893776,-2.745999753475189,41,228.75,49.0,26.7
4205387,Real Madrid,2_1,,2,38,69.76420041918755,35.84470011293888,74.50568964274169,17.235799580812454,-9.84470011293888,95,1140.0,37.0,25.6
4205390,Granada,2_4,,19,38,42.9866001419723,64.83560022711754,37.54244076147777,-4.986600141972303,14.164399772882462,21,141.1,46.0,26.4
4205400,Deportivo Alaves,0 _ 2,,8,38,46.554699659347534,45.19290003180504,51.99584700329753,-10.554699659347534,0.8070999681949615,46,,,
4205397,Girona,5_3,,4,38,71.81500044465065,55.33110040426254,63.56037276473729,13.18499955534935,-9.331100404262545,81,297.9,37.0,25.6
4205398,Osasuna,0 _ 0,,14,38,40.99650013446808,50.40549983084202,46.73057749890605,4.003499865531921,5.594500169157982,45,105.35,32.0,27.2
4205395,Barcelona,3_2,,1,38,78.47440016269684,41.95000001788139,76.86536078632587,0.5255998373031616,2.0499999821186066,85,916.2,38.0,24.0
4205393,Almeria,2_2,,17,38,49.3727997764945,62.0615995824337,43.17933080901533,-6.372799776494503,12.9384004175663,21,99.4,41.0,25.3
4205401,Real Sociedad,4_3,,6,38,45.49999979138374,42.01430001109839,54.50672071714556,5.500000208616257,-3.014300011098385,60,498.5,40.0,25.2
4205399,Rayo Vallecano,1_1,,9,38,42.70370011031628,45.02939987182617,51.15674361899037,-13.703700110316277,2.970600128173828,38,63.95,30.0,28.9
4205402,Las Palmas,1_0,,20,38,33.406499803066254,57.48590001836419,37.44152282676945,-0.4064998030662536,-10.485900018364193,40,112.4,35.0,26.2
4205396,Real Betis,1_1,,10,38,44.58340001106262,50.78079971671104,50.16937851462984,3.416599988937378,-5.780799716711044,57,224.88,42.0,27.0
4205394,Atletico Madrid,3_1,,3,38,63.02090010046959,39.84470027685165,67.75806516978074,6.979099899530411,3.155299723148346,76,458.45,42.0,26.9
4205405,Sevilla,5_1,,16,38,45.16869970411062,56.74599975347519,43.30569248842851,2.8313002958893776,-2.745999753475189,41,228.75,49.0,26.7
4205407,Mallorca,2_2,,11,38,41.20349998772144,43.55740045011044,50.04539754117186,-8.203499987721443,0.4425995498895645,40,87.7,35.0,26.9
4205403,Athletic Club,2_2,,5,38,53.23600025475025,41.94819977134466,58.83257780629809,7.763999745249748,-4.948199771344662,68,295.65,31.0,27.0
4205411,Real Madrid,2_0,,2,38,69.76420041918755,35.84470011293888,74.50568964274169,17.235799580812454,-9.84470011293888,95,1140.0,37.0,25.6
4205409,Villarreal,1_2,,7,38,56.68329958617687,59.24300003051758,52.74478704172331,8.316700413823128,5.756999969482422,53,252.5,39.0,27.2
4205404,Cadiz,0 _ 0,,18,38,36.54569977521896,52.90619999170303,42.72391696433407,-10.545699775218964,2.0938000082969666,33,60.7,44.0,27.0
4205410,Valencia,0 _ 1,,12,38,43.41349981725216,48.07219985872507,49.16903915854088,-3.413499817252159,-3.072199858725071,49,244.73,36.0,23.8
4205412,Celta Vigo,1_1,,13,38,51.205099657177925,55.12649983167648,48.845843934285895,-5.205099657177925,1.8735001683235168,41,149.3,39.0,25.9
4205408,Granada,1_1,,19,38,42.9866001419723,64.83560022711754,37.54244076147777,-4.986600141972303,14.164399772882462,21,141.1,46.0,26.4
4205406,Osasuna,0 _ 2,,14,38,40.99650013446808,50.40549983084202,46.73057749890605,4.003499865531921,5.594500169157982,45,105.35,32.0,27.2
4205415,Barcelona,1_0,,1,38,78.47440016269684,41.95000001788139,76.86536078632587,0.5255998373031616,2.0499999821186066,85,916.2,38.0,24.0
4205417,Getafe,0 _ 0,,15,38,46.12450028955936,54.38299983739853,45.67093815711958,-4.124500289559364,-0.382999837398529,43,133.0,40.0,25.7
4205422,Rayo Vallecano,2_2,,9,38,42.70370011031628,45.02939987182617,51.15674361899037,-13.703700110316277,2.970600128173828,38,63.95,30.0,28.9
4205418,Girona,0 _ 3,,4,38,71.81500044465065,55.33110040426254,63.56037276473729,13.18499955534935,-9.331100404262545,81,297.9,37.0,25.6
4205420,Real Sociedad,3_0,,6,38,45.49999979138374,42.01430001109839,54.50672071714556,5.500000208616257,-3.014300011098385,60,498.5,40.0,25.2
4205413,Almeria,3_3,,17,38,49.3727997764945,62.0615995824337,43.17933080901533,-6.372799776494503,12.9384004175663,21,99.4,41.0,25.3
4205419,Deportivo Alaves,0 _ 2,,8,38,46.554699659347534,45.19290003180504,51.99584700329753,-10.554699659347534,0.8070999681949615,46,,,
4205414,Atletico Madrid,3_2,,3,38,63.02090010046959,39.84470027685165,67.75806516978074,6.979099899530411,3.155299723148346,76,458.45,42.0,26.9
4205416,Real Betis,3_0,,10,38,44.58340001106262,50.78079971671104,50.16937851462984,3.416599988937378,-5.780799716711044,57,224.88,42.0,27.0
4205421,Las Palmas,2_1,,20,38,33.406499803066254,57.48590001836419,37.44152282676945,-0.4064998030662536,-10.485900018364193,40,112.4,35.0,26.2
4205428,Athletic Club,3_0,,5,38,53.23600025475025,41.94819977134466,58.83257780629809,7.763999745249748,-4.948199771344662,68,295.65,31.0,27.0
